inv_skew_ticks,flow_skew_ticks,pnl_inr,fills,orders,position
0,0,-5411,8578,10924,48
0,1,-5411,8578,10924,48
0,2,-5147,6844,10457,52
0,3,-3791,6432,10122,0
1,0,-3959,6986,10814,46
1,1,-3959,6986,10814,46
1,2,-4119,6764,10682,38
1,3,-3869,5876,9830,48
2,0,-3268,6310,10128,44
2,1,-3268,6310,10128,44
2,2,-4662,7361,11271,45
2,3,-3906,6189,10161,3
3,0,-3904,7429,11220,33
3,1,-3904,7429,11220,33
3,2,-4662,7996,11899,16
3,3,-3775,6470,10456,20
4,0,-4072,7972,11750,22
4,1,-4072,7972,11750,22
4,2,-4505,7407,11315,25
4,3,-4331,7044,11020,-4
